Method,Name,Error,Occurrences
GET,Cenário 1: Imagem 1MB,HTTPError('500 Server Error: Internal Server Error for url: Cenário 1: Imagem 1MB'),6
GET,Cenário 2: Texto 400kb,HTTPError('500 Server Error: Internal Server Error for url: Cenário 2: Texto 400kb'),4
GET,Cenário 3: Imagem 300kb,HTTPError('500 Server Error: Internal Server Error for url: Cenário 3: Imagem 300kb'),11
