Method,Name,Error,Occurrences
GET,Cenário 3: Imagem 300kb,HTTPError('502 Server Error: Bad Gateway for url: Cenário 3: Imagem 300kb'),45
GET,Cenário 1: Imagem 1MB,HTTPError('502 Server Error: Bad Gateway for url: Cenário 1: Imagem 1MB'),52
GET,Cenário 2: Texto 400kb,HTTPError('502 Server Error: Bad Gateway for url: Cenário 2: Texto 400kb'),48
