Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenário 1: Imagem 1MB,4078,176,3500,4228.397515240574,3.8649569996778155,76182.4261540005,29555.26630701324,33.93910234672066,1.4647577275681303,3500,3900,4200,4500,5400,6000,6900,69000,76000,76000,76000
GET,Cenário 2: Texto 400kb,3928,181,3800,4435.376684666,1.623506001124042,76399.86445199975,433491.82942973525,32.69072928345236,1.5063701630104067,3800,4300,4700,4900,5800,6300,7200,69000,76000,76000,76000
GET,Cenário 3: Imagem 300kb,4026,182,3400,4128.413667770225,5.753359000664204,76119.94940799923,29369.36388474913,33.50633301812098,1.514692650098862,3400,3900,4200,4500,5300,6000,6800,69000,75000,76000,76000
,Aggregated,12032,539,3600,4262.5131408711695,1.623506001124042,76399.86445199975,161363.30959109042,100.136164648294,4.485820540677399,3600,4000,4400,4700,5500,6100,7000,69000,76000,76000,76000
