Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenário 1: Imagem 1MB,6971,0,670,707.7635991586527,24.3987300000299,3458.8511480001216,30512.0,38.708034276073285,0.0,670,880,1000,1100,1300,1500,1800,2000,2500,3500,3500
GET,Cenário 2: Texto 400kb,6905,0,1100,1236.630699705288,49.71931999989465,5558.308598999702,451614.0,38.34155453683633,0.0,1100,1600,1800,2000,2400,2700,3100,3400,5000,5600,5600
GET,Cenário 3: Imagem 300kb,6897,0,650,695.8750070087016,23.54238099997019,3255.0458860000617,30560.0,38.29713275026215,0.0,650,880,1000,1100,1300,1500,1700,1900,2600,3300,3300
,Aggregated,20773,0,760,879.6131976382314,23.54238099997019,5558.308598999702,170503.35252491216,115.34672156317177,0.0,760,1000,1200,1400,1800,2200,2700,2900,4000,5500,5600
