Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenário 1: Imagem 1MB,6472,0,70,85.07194276977957,24.28376600005322,482.82003600024836,30512.0,36.08410837287721,0.0,70,84,97,110,150,190,250,290,410,480,480
GET,Cenário 2: Texto 400kb,6414,0,120,139.9987221939486,49.26988400006849,665.0240419999136,451614.0,35.760734101303214,0.0,120,140,160,170,230,290,350,400,540,670,670
GET,Cenário 3: Imagem 300kb,6392,0,69,84.2086866928952,23.959167999919373,476.65931200026534,30560.0,35.63807489484412,0.0,69,83,96,110,140,190,250,280,380,480,480
,Aggregated,19278,0,86,103.06044937747595,23.959167999919373,665.0240419999136,170633.12480547774,107.48291736902455,0.0,86,110,120,140,180,230,300,340,490,660,670
