Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenário 1: Imagem 1MB,4163,0,42,45.34016794331038,23.912944000130665,204.1543579998688,30512.0,23.21508534975196,0.0,42,48,51,54,62,71,84,96,150,200,200
GET,Cenário 2: Texto 400kb,4252,0,77,80.31120719755448,47.27285599983588,234.79907499995534,451614.0,23.711396326482184,0.0,77,84,89,92,100,110,130,150,210,230,230
GET,Cenário 3: Imagem 300kb,4105,0,41,43.89238156662629,23.82314999999835,164.74890399990727,30560.0,22.89164673570305,0.0,41,46,50,52,59,67,78,91,130,160,160
,Aggregated,12520,0,51,56.74222032611832,23.82314999999835,234.79907499995534,173540.9731629393,69.8181284119372,0.0,51,64,71,75,88,99,110,130,180,220,230
