Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenário 1: Imagem 1MB,19893,19893,26,3578.775970747033,1.8226990005132393,73125.96045100054,10.244105966923039,166.06625840599168,166.06625840599168,26,89,130,160,510,20000,69000,70000,72000,73000,73000
GET,Cenário 2: Texto 400kb,20039,20039,29,3953.6537023006053,1.8817720001607086,73163.94065799977,9.652377863166825,167.28506269530325,167.28506269530325,29,94,130,160,590,68000,69000,70000,72000,73000,73000
GET,Cenário 3: Imagem 300kb,20216,20216,27,3548.229993539138,1.8540010005381191,73162.84611399987,9.886278195488721,168.7626541967289,168.7626541967289,27,91,130,160,500,20000,69000,70000,72000,73000,73000
,Aggregated,60148,60148,27,3693.404177626185,1.8226990005132393,73163.94065799977,9.926697479550443,502.11397529802383,502.11397529802383,27,91,130,160,530,36000,69000,70000,72000,73000,73000
