Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenário 3: Imagem 300kb,19745,0,45,47.08132875092463,22.937561999924583,168.77592400010144,30560.0,110.03725154755233,0.0,45,49,52,54,62,72,84,95,130,160,170
,Aggregated,19745,0,45,47.08132875092463,22.937561999924583,168.77592400010144,30560.0,110.03725154755233,0.0,45,49,52,54,62,72,84,95,130,160,170
